cas_entry,pdb_id,pdb_path,pdb_dir,is_overlap
cas0001,1NXE,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1nxe\1nxe.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1nxe,False
cas0001,1NXG,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1nxg\1nxg.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1nxg,True
cas0001,1OWB,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1owb\1owb.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1owb,True
cas0001,1OWC,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1owc\1owc.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\1owc,False
cas0001,4G6B,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4g6b\4g6b.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4g6b,False
cas0001,4JAD,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jad\4jad.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jad,False
cas0001,4JAE,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jae\4jae.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jae,False
cas0001,4JAF,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jaf\4jaf.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jaf,True
cas0001,4JAG,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jag\4jag.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0001\4jag,False
cas0002,1S8O,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\1s8o\1s8o.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\1s8o,False
cas0002,3I1Y,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3i1y\3i1y.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3i1y,False
cas0002,3I28,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3i28\3i28.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3i28,False
cas0002,3KOO,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3koo\3koo.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3koo,False
cas0002,3OTQ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3otq\3otq.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3otq,False
cas0002,3WK4,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk4\3wk4.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk4,False
cas0002,3WK5,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk5\3wk5.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk5,False
